t,value
1574466506,0
1574466507,0
1574466508,0
1574466509,0
1574466510,0
1574466511,0
1574466512,0
1574466513,0
1574466514,0
1574466515,0
1574466516,0
1574466517,0
1574466518,0
1574466519,0
1574466520,0
1574466521,0
1574466522,0
1574466523,0
1574466524,0
1574466525,0
1574466526,0
1574466527,0
1574466528,0
1574466529,0
1574466530,0
1574466531,0
1574466532,0
1574466533,0
1574466534,0
1574466535,0
1574466536,0
1574466537,0
1574466538,0
1574466539,0
1574466540,0
1574466541,0
1574466542,0
1574466543,0
1574466544,0
1574466545,0
1574466546,0
1574466547,0
1574466548,0
1574466549,0
1574466550,0
1574466551,0
1574466552,0
1574466553,0
1574466554,0
1574466555,0
1574466556,0
1574466557,0
1574466558,0
1574466559,0
1574466560,0
1574466561,0
1574466562,0
1574466563,0
1574466564,0
1574466565,0
1574466566,0
1574466567,0
1574466568,0
1574466569,0
1574466570,0
1574466571,0
1574466572,0
1574466573,0
1574466574,0
1574466575,0
1574466576,0
1574466577,0
1574466578,0
1574466579,0
1574466580,0
1574466581,0
1574466582,0
1574466583,0
1574466584,0
1574466585,0
1574466586,0
1574466587,0
1574466588,0
1574466589,0
1574466590,0
1574466591,0
1574466592,0
1574466593,0
1574466594,0
1574466595,0
1574466596,0
1574466597,0
1574466598,0
1574466599,0
1574466600,0
1574466601,0
1574466602,0
1574466603,0
1574466604,0
1574466605,0
1574466606,0
1574466607,0
1574466608,0
1574466609,0
1574466610,0
1574466611,0
1574466612,0
1574466613,0
1574466614,0
1574466615,0
1574466616,0
1574466617,0
1574466618,0
1574466619,0
1574466620,0
1574466621,0
1574466622,0
1574466623,0
1574466624,0
1574466625,0
1574466626,0
1574466627,0
1574466628,0
1574466629,0
1574466630,0
1574466631,0
1574466632,0
1574466633,0
1574466634,0
1574466635,0
1574466636,0
1574466637,0
1574466638,0
1574466639,0
1574466640,0
1574466641,0
1574466642,0
1574466643,16384
1574466644,16384
1574466645,16384
1574466646,16384
1574466647,16384
1574466648,16384
1574466649,16384
1574466650,16384
1574466651,16384
1574466652,16384
1574466653,16384
1574466654,16384
1574466655,16384
1574466656,16384
1574466657,16384
1574466658,16384
1574466659,16384
1574466660,16384
1574466661,16384
1574466662,16384
1574466663,16384
1574466664,16384
1574466665,16384
1574466666,16384
1574466667,16384
1574466668,16384
1574466669,16384
1574466670,16384
1574466671,16384
1574466672,16384
1574466673,16384
1574466674,16384
1574466675,16384
1574466676,16384
1574466677,16384
1574466678,16384
1574466679,16384
1574466680,16384
1574466681,16384
1574466682,16384
1574466683,16384
1574466684,16384
1574466685,16384
1574466686,16384
1574466687,16384
1574466688,16384
1574466689,16384
1574466690,16384
1574466691,16384
1574466692,16384
1574466693,16384
1574466694,16384
1574466695,16384
1574466696,16384
1574466697,16384
1574466698,16384
1574466699,16384
1574466700,16384
1574466701,16384
1574466702,16384
1574466703,16384
1574466704,16384
1574466705,16384
1574466706,16384
1574466707,16384
1574466708,16384
1574466709,16384
1574466710,16384
1574466711,16384
1574466712,16384
1574466713,16384
1574466714,16384
1574466715,16384
1574466716,16384
1574466717,16384
1574466718,16384
1574466719,16384
1574466720,16384
1574466721,16384
1574466722,16384
1574466723,16384
1574466724,16384
1574466725,16384
1574466726,16384
1574466727,16384
1574466728,16384
1574466729,16384
1574466730,16384
1574466731,16384
1574466732,16384
1574466733,16384
1574466734,16384
1574466735,16384
1574466736,16384
1574466737,1073766416
1574466738,1073766416
1574466739,1073766416
1574466740,1073766416
1574466741,1073766416
1574466742,1073766416
1574466743,1073766416
1574466744,1073766416
