t,value
1574466506,21495808
1574466507,21495808
1574466508,21495808
1574466509,21495808
1574466510,21495808
1574466511,21495808
1574466512,21495808
1574466513,21495808
1574466514,21495808
1574466515,21495808
1574466516,21495808
1574466517,21495808
1574466518,21495808
1574466519,21495808
1574466520,21495808
1574466521,21495808
1574466522,21495808
1574466523,21495808
1574466524,21495808
1574466525,21495808
1574466526,21495808
1574466527,21495808
1574466528,21495808
1574466529,21495808
1574466530,21495808
1574466531,21495808
1574466532,21495808
1574466533,21495808
1574466534,21495808
1574466535,21495808
1574466536,21495808
1574466537,21495808
1574466538,21495808
1574466539,21495808
1574466540,21495808
1574466541,21495808
1574466542,21495808
1574466543,21495808
1574466544,21495808
1574466545,21495808
1574466546,21495808
1574466547,21495808
1574466548,21495808
1574466549,21495808
1574466550,21495808
1574466551,21495808
1574466552,21495808
1574466553,21495808
1574466554,21495808
1574466555,21495808
1574466556,21495808
1574466557,21495808
1574466558,21495808
1574466559,21495808
1574466560,21495808
1574466561,21495808
1574466562,21495808
1574466563,21495808
1574466564,21495808
1574466565,21495808
1574466566,21495808
1574466567,21495808
1574466568,21495808
1574466569,21495808
1574466570,21495808
1574466571,21495808
1574466572,21495808
1574466573,21495808
1574466574,21495808
1574466575,21495808
1574466576,21495808
1574466577,21495808
1574466578,21495808
1574466579,21495808
1574466580,21495808
1574466581,21495808
1574466582,21495808
1574466583,21495808
1574466584,21495808
1574466585,21495808
1574466586,21495808
1574466587,21495808
1574466588,21495808
1574466589,21495808
1574466590,21495808
1574466591,21495808
1574466592,21495808
1574466593,21495808
1574466594,21495808
1574466595,21495808
1574466596,21495808
1574466597,21495808
1574466598,21495808
1574466599,21495808
1574466600,21495808
1574466601,21495808
1574466602,21495808
1574466603,21495808
1574466604,21495808
1574466605,21495808
1574466606,21495808
1574466607,21495808
1574466608,21495808
1574466609,21495808
1574466610,21495808
1574466611,21495808
1574466612,21495808
1574466613,21495808
1574466614,21495808
1574466615,21495808
1574466616,21495808
1574466617,21495808
1574466618,21495808
1574466619,21495808
1574466620,21495808
1574466621,21495808
1574466622,21495808
1574466623,21495808
1574466624,21495808
1574466625,21495808
1574466626,21495808
1574466627,21495808
1574466628,21495808
1574466629,21495808
1574466630,21495808
1574466631,21495808
1574466632,21495808
1574466633,21495808
1574466634,21495808
1574466635,21495808
1574466636,21495808
1574466637,21495808
1574466638,21495808
1574466639,21495808
1574466640,21495808
1574466641,21495808
1574466642,21495808
1574466643,21495808
1574466644,21495808
1574466645,21495808
1574466646,21495808
1574466647,21495808
1574466648,21495808
1574466649,21495808
1574466650,21495808
1574466651,21495808
1574466652,21495808
1574466653,21495808
1574466654,21495808
1574466655,21495808
1574466656,21495808
1574466657,21495808
1574466658,21495808
1574466659,21495808
1574466660,21495808
1574466661,21495808
1574466662,21495808
1574466663,21495808
1574466664,21495808
1574466665,21495808
1574466666,21495808
1574466667,21495808
1574466668,21495808
1574466669,21495808
1574466670,21495808
1574466671,21495808
1574466672,21495808
1574466673,21495808
1574466674,21495808
1574466675,21495808
1574466676,21495808
1574466677,21495808
1574466678,21495808
1574466679,21495808
1574466680,21495808
1574466681,21495808
1574466682,21495808
1574466683,21495808
1574466684,21495808
1574466685,21495808
1574466686,21495808
1574466687,21495808
1574466688,21495808
1574466689,21495808
1574466690,21495808
1574466691,21495808
1574466692,21495808
1574466693,21495808
1574466694,21495808
1574466695,21495808
1574466696,21495808
1574466697,21495808
1574466698,21495808
1574466699,21495808
1574466700,21495808
1574466701,21495808
