t,value
1574464736,528941056
1574464737,528941056
1574464738,528941056
1574464739,528941056
1574464740,528941056
1574464741,528941056
1574464742,528941056
1574464743,528941056
1574464744,528941056
1574464745,528941056
1574464746,528941056
1574464747,528941056
1574464748,528941056
1574464749,528941056
1574464750,528941056
1574464751,528941056
1574464752,528941056
1574464754,528941056
1574464754,528941056
1574464755,528941056
1574464756,528941056
1574464757,528941056
1574464758,528941056
1574464759,528941056
1574464760,528941056
1574464761,528941056
1574464762,528941056
1574464763,528941056
1574464764,528941056
1574464765,528941056
1574464766,528941056
1574464767,528941056
1574464768,528941056
1574464769,528941056
1574464770,528941056
1574464771,528941056
1574464772,528941056
1574464773,528941056
1574464774,528941056
1574464775,528941056
1574464776,528941056
1574464777,528941056
1574464778,528941056
1574464779,528941056
1574464780,528941056
1574464781,528941056
1574464782,528941056
1574464783,528941056
1574464784,528941056
1574464785,528941056
1574464786,528941056
1574464787,528941056
1574464788,528941056
1574464789,528941056
1574464790,528941056
1574464791,528941056
1574464792,528941056
1574464793,528941056
1574464794,528941056
1574464795,528941056
1574464796,528941056
1574464797,528941056
1574464798,528941056
1574464799,528941056
1574464800,528941056
1574464801,528941056
1574464802,528941056
1574464803,528941056
1574464804,528941056
1574464805,528941056
1574464806,528941056
1574464807,528941056
1574464808,528941056
1574464809,528941056
1574464810,528941056
1574464811,528941056
1574464812,528941056
1574464813,528941056
1574464814,528941056
1574464815,528941056
1574464816,528941056
1574464817,528941056
1574464818,528941056
1574464819,528941056
1574464820,528941056
1574464821,528941056
1574464822,528941056
1574464823,528941056
1574464824,528941056
1574464825,528941056
1574464826,528941056
1574464827,528941056
1574464828,528941056
1574464829,528941056
1574464830,528941056
1574464831,528941056
1574464832,528941056
1574464833,528941056
1574464834,528941056
1574464835,528941056
1574464836,528941056
1574464837,528941056
1574464838,528941056
1574464839,528941056
1574464840,528941056
1574464841,528941056
1574464842,528941056
1574464843,528941056
1574464844,528941056
1574464845,528941056
1574464846,528941056
1574464847,528941056
1574464848,528941056
1574464849,528941056
1574464850,528941056
1574464851,528941056
1574464852,528941056
1574464853,528941056
1574464854,528941056
1574464855,528941056
1574464856,528941056
1574464857,528941056
1574464858,528941056
1574464859,528941056
1574464860,528941056
1574464861,528941056
1574464862,528941056
1574464863,528941056
1574464864,528941056
1574464865,528941056
1574464866,528941056
1574464867,528941056
1574464868,528941056
1574464869,528941056
1574464870,528941056
1574464871,528941056
1574464872,528941056
1574464873,528941056
1574464874,528941056
1574464875,528941056
1574464876,528941056
1574464877,528941056
1574464878,528941056
1574464879,528941056
1574464880,528941056
1574464881,528941056
1574464882,528941056
1574464883,528941056
1574464884,528941056
1574464885,528941056
1574464886,528941056
1574464887,528941056
1574464888,528941056
1574464889,528941056
1574464890,528941056
1574464891,528941056
1574464892,528941056
1574464893,528941056
1574464894,528941056
1574464895,528941056
1574464896,528941056
1574464897,528941056
1574464898,528941056
1574464899,528941056
1574464900,528941056
1574464901,528941056
1574464902,528941056
1574464903,528941056
1574464904,528941056
1574464905,528941056
1574464906,528941056
1574464907,528941056
1574464908,528941056
1574464909,528941056
1574464910,528941056
1574464911,528941056
1574464912,528941056
1574464913,528941056
1574464914,528941056
1574464915,528941056
1574464916,528941056
1574464917,528941056
1574464918,528941056
1574464919,528941056
1574464920,528941056
1574464921,528941056
1574464922,528941056
1574464923,528941056
1574464924,528941056
1574464925,528941056
1574464926,528941056
1574464927,528941056
1574464928,528941056
1574464929,528941056
1574464930,528941056
1574464931,528941056
1574464932,528941056
1574464933,528941056
1574464934,528941056
1574464935,528941056
1574464936,528941056
1574464937,528941056
1574464938,528941056
1574464939,528941056
1574464940,528941056
1574464941,528941056
1574464942,528941056
1574464943,528941056
1574464944,528941056
1574464945,528941056
1574464946,528941056
1574464947,528941056
1574464948,528941056
1574464949,528941056
1574464950,528941056
1574464951,528941056
1574464952,528941056
1574464953,528941056
1574464954,528941056
1574464955,528941056
1574464956,528941056
1574464957,528941056
1574464958,528941056
1574464959,528941056
1574464960,528941056
1574464961,528941056
1574464962,528941056
1574464963,528941056
1574464964,528941056
1574464965,528941056
1574464966,528941056
1574464967,528941056
1574464968,528941056
1574464969,528941056
1574464970,528941056
1574464971,528941056
1574464972,528941056
1574464973,528941056
1574464974,528941056
1574464975,528941056
1574464976,528941056
1574464977,528941056
1574464978,528941056
1574464979,528941056
1574464980,528941056
1574464981,528941056
1574464982,528941056
1574464983,528941056
1574464984,528941056
1574464985,528941056
1574464986,528941056
1574464987,528941056
1574464988,528941056
1574464989,528941056
1574464990,528941056
1574464991,528941056
1574464992,528941056
1574464993,528941056
1574464994,528941056
1574464995,528941056
1574464996,528941056
1574464997,528941056
1574464998,528941056
1574464999,528941056
1574465000,528941056
1574465001,528941056
1574465002,528941056
1574465003,528941056
1574465004,528941056
1574465005,528941056
1574465006,528941056
1574465007,528941056
1574465008,528941056
1574465009,528941056
1574465010,528941056
1574465011,528941056
1574465012,528941056
1574465013,528941056
1574465014,528941056
1574465015,528941056
1574465016,528941056
1574465017,528941056
1574465018,528941056
1574465019,528941056
1574465020,528941056
1574465021,528941056
1574465022,528941056
1574465023,528941056
1574465024,528941056
1574465025,528941056
1574465026,528941056
1574465027,528941056
1574465028,528941056
1574465029,528941056
1574465030,528941056
1574465031,528941056
1574465032,528941056
1574465033,528941056
1574465034,528941056
1574465035,528941056
1574465036,528941056
1574465037,528941056
1574465038,528941056
1574465039,528941056
1574465040,528941056
1574465041,528941056
1574465042,528941056
1574465043,528941056
1574465044,528941056
1574465045,528941056
1574465046,528941056
1574465047,528941056
1574465048,528941056
1574465049,528941056
1574465050,528941056
1574465051,528941056
1574465052,528941056
1574465053,528941056
1574465054,528941056
1574465055,528941056
1574465056,528941056
1574465057,528941056
1574465058,528941056
1574465059,528941056
1574465060,528941056
1574465061,528941056
1574465062,528941056
1574465063,528941056
1574465064,528941056
1574465065,528941056
1574465066,528941056
1574465067,528941056
1574465068,528941056
1574465069,528941056
1574465070,528941056
1574465071,528941056
1574465072,528941056
1574465073,528941056
1574465074,528941056
1574465075,528941056
1574465076,528941056
1574465077,528941056
1574465078,528941056
1574465079,528941056
1574465080,528941056
1574465081,528941056
1574465082,528941056
1574465083,528941056
