t,value
1574466506,5
1574466507,5
1574466508,5
1574466509,5
1574466510,5
1574466511,5
1574466512,5
1574466513,5
1574466514,5
1574466515,5
1574466516,5
1574466517,5
1574466518,5
1574466519,5
1574466520,5
1574466521,5
1574466522,5
1574466523,5
1574466524,5
1574466525,5
1574466526,5
1574466527,5
1574466528,5
1574466529,5
1574466530,5
1574466531,5
1574466532,5
1574466533,5
1574466534,5
1574466535,5
1574466536,5
1574466537,5
1574466538,5
1574466539,5
1574466540,5
1574466541,5
1574466542,5
1574466543,5
1574466544,5
1574466545,5
1574466546,5
1574466547,5
1574466548,5
1574466549,5
1574466550,5
1574466551,5
1574466552,5
1574466553,5
1574466554,5
1574466555,5
1574466556,5
1574466557,5
1574466558,5
1574466559,5
1574466560,5
1574466561,5
1574466562,5
1574466563,5
1574466564,5
1574466565,5
1574466566,5
1574466567,5
1574466568,5
1574466569,5
1574466570,5
1574466571,5
1574466572,5
1574466573,5
1574466574,5
1574466575,5
1574466576,5
1574466577,5
1574466578,5
1574466579,5
1574466580,5
1574466581,5
1574466582,5
1574466583,5
1574466584,5
1574466585,5
1574466586,5
1574466587,5
1574466588,5
1574466589,5
1574466590,5
1574466591,5
1574466592,5
1574466593,5
1574466594,5
1574466595,5
1574466596,5
1574466597,5
1574466598,5
1574466599,5
1574466600,5
1574466601,5
1574466602,5
1574466603,5
1574466604,5
1574466605,5
1574466606,5
1574466607,5
1574466608,5
1574466609,5
1574466610,5
1574466611,5
1574466612,5
1574466613,5
1574466614,5
1574466615,5
1574466616,5
1574466617,5
1574466618,5
1574466619,5
1574466620,5
1574466621,5
1574466622,5
1574466623,5
1574466624,5
1574466625,5
1574466626,5
1574466627,5
1574466628,5
1574466629,5
1574466630,5
1574466631,5
1574466632,5
1574466633,5
1574466634,5
1574466635,5
1574466636,5
1574466637,5
1574466638,5
1574466639,14
1574466640,14
1574466641,14
1574466642,14
1574466643,14
1574466644,14
1574466645,14
1574466646,14
1574466647,14
1574466648,14
1574466649,20
1574466650,20
1574466651,20
1574466652,20
1574466653,20
1574466654,20
1574466655,20
1574466656,20
1574466657,20
1574466658,20
1574466659,27
1574466660,27
1574466661,27
1574466662,27
1574466663,27
1574466664,27
1574466665,27
1574466666,27
1574466667,27
1574466668,27
1574466669,33
1574466670,33
1574466671,33
1574466672,33
1574466673,33
1574466674,33
1574466675,33
1574466676,33
1574466677,33
1574466678,33
1574466679,39
1574466680,39
1574466681,39
1574466682,39
1574466683,39
1574466684,39
1574466685,39
1574466686,39
1574466687,39
