t,value
1574466506,1
1574466507,1
1574466508,1
1574466509,1
1574466510,1
1574466511,1
1574466512,1
1574466513,1
1574466514,1
1574466515,1
1574466516,1
1574466517,1
1574466518,1
1574466519,1
1574466520,1
1574466521,1
1574466522,1
1574466523,1
1574466524,1
1574466525,1
1574466526,1
1574466527,1
1574466528,1
1574466529,1
1574466530,1
1574466531,1
1574466532,1
1574466533,1
1574466534,1
1574466535,1
1574466536,1
1574466537,1
1574466538,1
1574466539,1
1574466540,1
1574466541,1
1574466542,1
1574466543,1
1574466544,1
1574466545,1
1574466546,1
1574466547,1
1574466548,1
1574466549,1
1574466550,1
1574466551,1
1574466552,1
1574466553,1
1574466554,1
1574466555,1
1574466556,1
1574466557,1
1574466558,1
1574466559,1
1574466560,1
1574466561,1
1574466562,1
1574466563,1
1574466564,1
1574466565,1
1574466566,1
1574466567,1
1574466568,1
1574466569,1
1574466570,1
1574466571,1
1574466572,1
1574466573,1
1574466574,1
1574466575,1
1574466576,1
1574466577,1
1574466578,1
1574466579,1
1574466580,1
1574466581,1
1574466582,1
1574466583,1
1574466584,1
1574466585,1
1574466586,1
1574466587,1
1574466588,1
1574466589,1
1574466590,1
1574466591,1
1574466592,1
1574466593,1
1574466594,1
1574466595,1
1574466596,1
1574466597,1
1574466598,1
1574466599,1
1574466600,1
1574466601,1
1574466602,1
1574466603,1
1574466604,1
1574466605,1
1574466606,1
1574466607,1
1574466608,1
1574466609,1
1574466610,1
1574466611,1
1574466612,1
1574466613,1
1574466614,1
1574466615,1
1574466616,1
1574466617,1
1574466618,1
1574466619,1
1574466620,1
1574466621,1
1574466622,1
1574466623,1
1574466624,1
1574466625,1
1574466626,1
1574466627,1
1574466628,1
1574466629,1
1574466630,1
1574466631,1
1574466632,1
1574466633,1
1574466634,1
1574466635,1
1574466636,1
1574466637,1
1574466638,1
1574466639,1
1574466640,1
1574466641,1
1574466642,1
1574466643,1
1574466644,1
1574466645,1
1574466646,1
1574466647,1
1574466648,1
1574466649,1
1574466650,1
1574466651,1
1574466652,1
1574466653,1
1574466654,1
1574466655,1
1574466656,1
1574466657,1
1574466658,1
1574466659,1
1574466660,1
1574466661,1
1574466662,1
1574466663,1
1574466664,1
1574466665,1
1574466666,1
1574466667,1
1574466668,1
1574466669,1
1574466670,1
1574466671,1
1574466672,1
1574466673,1
1574466674,1
1574466675,1
1574466676,1
1574466677,1
1574466678,1
1574466679,1
1574466680,1
1574466681,1
1574466682,1
1574466683,1
1574466684,1
1574466685,1
1574466686,1
1574466687,1
1574466688,1
1574466689,1
1574466690,1
1574466691,1
1574466692,1
1574466693,1
1574466694,1
1574466695,1
1574466696,1
1574466697,1
1574466698,1
1574466699,1
1574466700,1
1574466701,1
1574466702,1
1574466703,1
1574466704,1
1574466705,1
1574466706,1
