t,value
1574467855,517537792
1574467856,517668864
1574467857,517865472
1574467858,517931008
1574467859,518062080
1574467860,518127616
1574467861,518193152
1574467862,518193152
1574467863,518258688
1574467864,518258688
1574467865,518258688
1574467866,518258688
1574467867,518258688
1574467868,518258688
1574467869,518258688
1574467870,518258688
1574467871,518324224
1574467872,518324224
1574467873,518324224
1574467874,518324224
1574467875,518324224
1574467876,518324224
1574467877,518324224
1574467878,518324224
1574467879,518389760
1574467880,518389760
1574467881,518389760
1574467882,518389760
1574467883,518651904
1574467884,518651904
1574467885,518651904
1574467886,518717440
1574467887,518717440
1574467888,518717440
1574467889,518717440
1574467890,518717440
1574467891,518717440
1574467892,518717440
1574467893,518717440
1574467894,518717440
1574467895,518717440
1574467896,518717440
1574467897,518717440
1574467898,518782976
1574467899,518782976
1574467900,518782976
1574467901,518782976
1574467902,518782976
1574467903,518782976
1574467904,518782976
1574467905,518782976
1574467906,518782976
1574467907,518782976
1574467908,518782976
1574467909,518782976
1574467910,518848512
1574467911,518848512
1574467912,518848512
1574467913,518848512
1574467914,518848512
1574467915,518848512
1574467916,518848512
1574467917,518848512
1574467918,518848512
1574467919,518848512
1574467920,518848512
1574467921,518848512
1574467922,518848512
1574467923,518848512
1574467924,518848512
1574467925,518848512
1574467926,518848512
1574467927,518848512
1574467928,518848512
1574467929,518848512
1574467930,518848512
1574467931,518848512
1574467932,518848512
1574467933,518848512
1574467934,518848512
1574467935,518848512
1574467936,518848512
1574467937,518848512
1574467938,518848512
1574467939,518848512
1574467940,518848512
1574467941,518848512
1574467942,518848512
1574467943,518848512
1574467944,518848512
1574467945,518848512
1574467946,518848512
1574467947,518848512
1574467948,518914048
1574467949,518914048
1574467950,518914048
1574467951,518914048
1574467952,518914048
1574467953,518914048
1574467954,518914048
1574467955,518914048
1574467956,518914048
1574467957,518914048
1574467958,518914048
1574467959,518914048
1574467960,518914048
1574467961,518914048
1574467962,518914048
1574467963,518979584
1574467964,518979584
1574467965,518979584
1574467966,518979584
1574467967,518979584
1574467968,518979584
1574467969,518979584
1574467970,518979584
1574467971,518979584
1574467972,518979584
1574467973,518979584
1574467974,518979584
1574467975,518979584
1574467976,518979584
1574467977,518979584
1574467978,518979584
1574467979,519045120
1574467980,519045120
1574467981,519045120
1574467982,519045120
1574467983,519045120
1574467984,519045120
1574467985,519045120
1574467986,519045120
1574467987,519045120
1574467988,519045120
1574467989,519045120
1574467990,519045120
1574467991,519045120
1574467992,519045120
1574467993,519045120
1574467994,519045120
1574467995,519045120
1574467996,519045120
1574467997,519045120
1574467998,519045120
1574467999,519045120
1574468000,519045120
1574468001,519045120
1574468002,519045120
1574468003,519045120
1574468004,519045120
1574468005,519045120
1574468006,519045120
1574468007,519045120
1574468008,519045120
1574468009,519045120
1574468010,519045120
1574468011,519045120
1574468012,519045120
1574468013,519045120
1574468014,519045120
1574468015,519045120
1574468016,519045120
1574468017,519045120
1574468018,519045120
1574468019,519045120
1574468020,519045120
1574468021,519045120
1574468022,519045120
1574468023,519045120
1574468024,519045120
1574468025,519045120
1574468026,519045120
1574468027,519045120
1574468028,519045120
1574468029,519045120
1574468030,519045120
1574468031,519045120
1574468032,519045120
1574468033,519045120
1574468034,519045120
1574468035,519045120
1574468036,519045120
1574468037,519045120
1574468038,519045120
1574468039,519045120
1574468040,519110656
1574468041,519110656
1574468042,519110656
1574468043,519110656
1574468044,519110656
1574468045,519110656
1574468046,519110656
1574468047,519110656
1574468048,519110656
1574468049,519110656
1574468050,519110656
1574468051,519110656
1574468052,519110656
1574468053,519110656
1574468054,519110656
1574468055,519110656
1574468056,519110656
1574468057,519110656
1574468058,519110656
1574468059,519110656
1574468060,519110656
1574468061,519110656
1574468062,519110656
1574468063,519110656
1574468064,519110656
1574468065,519110656
1574468066,519110656
1574468067,519110656
1574468068,519110656
1574468069,519110656
1574468070,519110656
1574468071,519110656
1574468072,519110656
1574468073,519110656
1574468074,519110656
1574468075,519110656
1574468076,519110656
1574468077,519110656
1574468078,519110656
1574468079,519110656
1574468080,519110656
1574468081,519110656
1574468082,519110656
1574468083,519110656
1574468084,519110656
1574468085,519110656
1574468086,519110656
1574468087,519110656
1574468088,519110656
1574468089,519110656
1574468090,519110656
1574468091,519110656
1574468092,519110656
1574468093,519110656
1574468094,519110656
1574468095,519110656
1574468096,519110656
1574468097,519110656
1574468098,519110656
1574468099,519110656
1574468100,519110656
1574468101,519110656
1574468102,519110656
1574468103,519110656
1574468104,519110656
1574468105,519110656
1574468106,519110656
1574468107,519110656
1574468108,519110656
1574468109,519110656
1574468110,519110656
1574468111,519110656
1574468112,519110656
1574468113,519110656
1574468114,519110656
1574468115,519110656
1574468116,519110656
1574468117,519110656
1574468118,519110656
1574468119,519110656
1574468120,519110656
1574468121,519110656
1574468122,519110656
1574468123,519110656
1574468124,519110656
1574468125,519110656
1574468126,519110656
1574468127,519110656
1574468128,519110656
1574468129,519110656
1574468130,519110656
1574468131,519110656
1574468132,519110656
1574468133,519110656
1574468134,519110656
1574468135,519110656
1574468136,519110656
1574468137,519110656
1574468138,519110656
1574468139,519110656
1574468140,519110656
1574468141,519110656
1574468142,519110656
1574468143,519110656
1574468144,519110656
1574468145,519110656
1574468146,519110656
1574468147,519110656
1574468148,519110656
1574468149,519110656
1574468150,519110656
1574468151,519110656
1574468152,519110656
1574468153,519110656
1574468154,519110656
1574468155,519110656
1574468156,519110656
1574468157,519110656
1574468158,519110656
1574468159,519110656
1574468160,519176192
1574468161,519176192
1574468162,519176192
1574468163,519176192
1574468164,519176192
1574468165,519176192
1574468166,519176192
1574468167,519176192
1574468168,519176192
1574468169,519176192
1574468170,519176192
1574468171,519176192
1574468172,519176192
1574468173,519176192
1574468174,519176192
1574468175,519176192
1574468176,519176192
1574468177,519176192
1574468178,519176192
1574468179,519176192
1574468180,519176192
1574468181,519176192
1574468182,519176192
1574468183,519176192
1574468184,519176192
1574468185,519176192
1574468186,519176192
1574468187,519176192
1574468188,519176192
1574468189,519176192
1574468190,519176192
1574468191,519176192
1574468192,519176192
1574468193,519176192
1574468194,519176192
1574468195,519176192
1574468196,519176192
1574468197,519176192
1574468198,519176192
1574468199,519176192
1574468200,519176192
1574468201,519176192
1574468202,519176192
1574468203,519176192
1574468204,519176192
1574468205,519176192
1574468206,519176192
1574468207,519176192
1574468208,519176192
1574468209,519176192
1574468210,519176192
1574468211,519176192
1574468212,519176192
1574468213,519176192
1574468214,519176192
1574468215,519176192
1574468216,519176192
1574468217,519176192
1574468218,519176192
1574468219,519176192
1574468220,519176192
1574468221,519176192
1574468222,519176192
1574468223,519176192
1574468224,519176192
1574468225,519176192
1574468226,519176192
1574468227,519176192
1574468228,519176192
1574468229,519176192
1574468230,519176192
1574468231,519176192
1574468232,519176192
1574468233,519176192
1574468234,519176192
1574468235,519176192
1574468236,519176192
1574468237,519176192
1574468238,519176192
1574468239,519176192
1574468240,519176192
1574468241,519176192
1574468242,519176192
1574468243,519176192
1574468244,519176192
1574468245,519176192
1574468246,519176192
1574468247,519176192
1574468248,519176192
1574468249,519176192
1574468250,519176192
1574468251,519176192
1574468252,519176192
1574468253,519176192
1574468254,519176192
1574468255,519176192
1574468256,519176192
1574468257,519176192
1574468258,519176192
1574468259,519176192
1574468260,519176192
1574468261,519176192
1574468262,519176192
1574468263,519176192
1574468264,519176192
1574468265,519176192
1574468266,519176192
1574468267,519176192
1574468268,519176192
1574468269,519176192
1574468270,519176192
1574468271,519176192
1574468272,519176192
1574468273,519176192
1574468274,519176192
1574468275,519176192
1574468276,519176192
1574468277,519176192
1574468278,519176192
1574468279,519176192
1574468280,519176192
1574468281,519176192
1574468282,519176192
1574468283,519176192
1574468284,519176192
1574468285,519176192
1574468286,519176192
1574468287,519176192
1574468288,519176192
1574468289,519176192
1574468290,519176192
1574468291,519176192
1574468292,519176192
1574468293,519176192
1574468294,519176192
1574468295,519176192
1574468296,519176192
1574468297,519176192
1574468298,519176192
1574468299,519176192
1574468300,519176192
1574468301,519176192
1574468302,519176192
1574468303,519176192
1574468304,519176192
1574468305,519176192
1574468306,519176192
1574468307,519176192
1574468308,519176192
1574468309,519176192
1574468310,519176192
1574468311,524222464
1574468312,1609629696
1574468313,1611464704
1574468314,1611857920
1574468315,1611923456
1574468316,1513947136
1574468317,1514209280
1574468318,1514209280
1574468319,1514209280
1574468320,1514209280
1574468321,1514209280
1574468322,2117664768
1574468323,2801860608
1574468324,2128805888
1574468325,2129002496
1574468326,2129133568
1574468327,2129133568
1574468328,2148663296
1574468329,2148728832
1574468330,2149187584
1574468331,2197422080
1574468332,2197422080
1574468333,2197422080
1574468334,2197422080
1574468335,2205286400
1574468336,2205286400
1574468337,2205286400
1574468338,2219966464
1574468339,2219966464
1574468340,2230452224
1574468341,2230452224
1574468342,2230452224
1574468343,2229403648
1574468344,2229403648
1574468345,2229403648
1574468346,2241462272
1574468347,2241462272
1574468348,2227830784
1574468349,2227830784
1574468350,2227830784
1574468351,2240937984
1574468352,2240937984
1574468353,2219966464
1574468354,2219966464
1574468355,2036989952
1574468356,2036989952
1574468357,2206859264
1574468358,2206859264
1574468359,2042232832
1574468360,2042232832
1574468361,2193227776
1574468362,2193227776
1574468363,2045902848
1574468364,2045902848
1574468365,2178023424
1574468366,2178023424
1574468367,2048524288
1574468368,2048524288
1574468369,2164916224
1574468370,2050621440
1574468371,2050621440
1574468372,2151284736
1574468373,2151284736
1574468374,2052194304
1574468375,2138701824
1574468376,2138701824
1574468377,2053242880
1574468378,2127691776
1574468379,2127691776
1574468380,2054291456
1574468381,2118778880
1574468382,2118778880
1574468383,2055340032
1574468384,2110390272
1574468385,2110390272
1574468386,2056388608
1574468387,2103574528
1574468388,2057437184
1574468389,2097807360
1574468390,2097807360
1574468391,2058485760
1574468392,2094137344
1574468393,2060058624
1574468394,2089418752
1574468395,2089418752
1574468396,2060582912
1574468397,2086797312
1574468398,2062680064
1574468399,2084175872
1574468400,2086273024
1574468401,2083127296
1574468402,2083127296
1574468403,2065301504
1574468404,2081030144
1574468405,2082603008
1574468406,2079457280
1574468407,2081030144
1574468408,2079457280
1574468409,2080505856
1574468410,2079981568
1574468411,2080505856
1574468412,2079981568
1574468413,2080505856
1574468414,2079457280
1574468415,2080505856
1574468416,2080505856
1574468417,2081030144
1574468418,2081030144
1574468419,2081554432
1574468420,2082078720
1574468421,2082603008
1574468422,2083651584
1574468423,2083651584
1574468424,2084700160
1574468425,2084700160
1574468426,2085748736
1574468427,2085748736
1574468428,2086273024
1574468429,2086797312
1574468430,2088370176
1574468431,2088370176
1574468432,2089418752
1574468433,2090991616
1574468434,2090991616
1574468435,2091515904
1574468436,2092040192
1574468437,2093613056
1574468438,2093613056
1574468439,2095185920
1574468440,2095185920
1574468441,2096758784
1574468442,2098331648
1574468443,2098331648
1574468444,2099380224
1574468445,2099380224
1574468446,2100953088
1574468447,2100953088
1574468448,2102525952
1574468449,2104098816
1574468450,2104098816
1574468451,2105671680
1574468452,2105671680
1574468453,2107244544
1574468454,2107244544
1574468455,2108817408
1574468456,2108817408
1574468457,2110390272
1574468458,2111963136
1574468459,2111963136
1574468460,2113536000
1574468461,2113536000
1574468462,2115108864
1574468463,2115108864
1574468464,2116681728
1574468465,2116681728
1574468466,2118254592
1574468467,2118254592
1574468468,2119827456
1574468469,2119827456
1574468470,2121400320
1574468471,2122973184
1574468472,2122973184
1574468473,2124546048
1574468474,2124546048
1574468475,2126118912
1574468476,2126118912
1574468477,2127691776
1574468478,2127691776
1574468479,2129264640
1574468480,2129264640
1574468481,2130837504
1574468482,2130837504
1574468483,2132410368
1574468484,2132410368
1574468485,2133983232
1574468486,2133983232
1574468487,2135556096
1574468488,2135556096
1574468489,2137128960
1574468490,2138701824
1574468491,2138701824
1574468492,2140274688
1574468493,2140274688
1574468494,2141323264
1574468495,2141323264
1574468496,2142371840
1574468497,2142371840
1574468498,2143944704
1574468499,2143944704
1574468500,2145517568
1574468501,2145517568
1574468502,2147090432
1574468503,2147090432
1574468504,2148663296
1574468505,2148663296
1574468506,2150236160
1574468507,2150236160
1574468508,2151809024
1574468509,2151809024
1574468510,2153381888
1574468511,2153381888
1574468512,2154954752
1574468513,2154954752
1574468514,2156527616
1574468515,2156527616
1574468516,2158100480
1574468517,2158100480
1574468518,2159673344
1574468519,2159673344
1574468520,2161246208
1574468521,2161246208
1574468522,2162819072
1574468523,2162819072
1574468524,2164391936
1574468525,2164391936
1574468526,2165964800
1574468527,2165964800
1574468528,2165964800
1574468529,2167537664
1574468530,2167537664
1574468531,2169110528
1574468532,2169110528
1574468533,2170683392
1574468534,2170683392
1574468535,2172256256
1574468536,2172256256
1574468537,2173829120
1574468538,2173829120
1574468539,2175401984
1574468540,2175401984
1574468541,2176974848
1574468542,2176974848
1574468543,2178547712
1574468544,2178547712
1574468545,2180120576
1574468546,2180120576
1574468547,2181693440
1574468548,2181693440
1574468549,2183266304
1574468550,2183266304
1574468551,2183266304
1574468552,2184839168
1574468553,2184839168
