t,value
1574467857,4
1574467858,4
1574467859,4
1574467860,4
1574467861,4
1574467862,4
1574467863,4
1574467864,4
1574467865,4
1574467866,4
1574467867,4
1574467868,4
1574467869,4
1574467870,4
1574467871,4
1574467872,4
1574467873,4
1574467874,4
1574467875,4
1574467876,4
1574467877,4
1574467878,4
1574467879,4
1574467880,4
1574467881,4
1574467882,4
1574467883,4
1574467884,4
1574467885,4
1574467886,4
1574467887,4
1574467888,4
1574467889,4
1574467890,4
1574467891,4
1574467892,4
1574467893,4
1574467894,4
1574467895,4
1574467896,4
1574467897,4
1574467898,4
1574467899,4
1574467900,4
1574467901,4
1574467902,4
1574467903,4
1574467904,4
1574467905,4
1574467906,4
1574467907,4
1574467908,4
1574467909,4
1574467910,4
1574467911,4
1574467912,4
1574467913,4
1574467914,4
1574467915,4
1574467916,4
1574467917,4
1574467918,4
1574467919,4
1574467920,4
1574467921,4
1574467922,4
1574467923,4
1574467924,4
1574467925,4
1574467926,4
1574467927,4
1574467928,4
1574467929,4
1574467930,4
1574467931,4
1574467932,4
1574467933,4
1574467934,4
1574467935,4
1574467936,4
1574467937,4
1574467938,4
1574467939,4
1574467940,4
1574467941,4
1574467942,4
1574467943,4
1574467944,4
1574467945,4
1574467946,4
1574467947,4
1574467948,4
1574467949,4
1574467950,4
1574467951,4
1574467952,4
1574467953,4
1574467954,4
1574467955,4
1574467956,4
1574467957,4
1574467958,4
1574467959,4
1574467960,4
1574467961,4
1574467962,4
1574467963,4
1574467964,4
1574467965,4
1574467966,4
1574467967,4
1574467968,4
1574467969,4
1574467970,4
1574467971,4
1574467972,4
1574467973,4
1574467974,4
1574467975,4
1574467976,4
1574467977,4
1574467978,4
1574467979,4
1574467980,4
1574467981,4
1574467982,4
1574467983,4
1574467984,4
1574467985,4
1574467986,4
1574467987,4
1574467988,4
1574467989,4
1574467990,4
1574467991,4
1574467992,4
1574467993,4
1574467994,4
1574467995,4
1574467996,4
1574467997,4
1574467998,4
1574467999,4
1574468000,4
1574468001,4
1574468002,4
1574468003,4
1574468004,4
1574468005,4
1574468006,4
1574468007,4
1574468008,4
1574468009,4
1574468010,4
1574468011,4
1574468012,4
1574468013,4
