t,value
1574467857,8
1574467858,8
1574467859,8
1574467860,8
1574467861,8
1574467862,8
1574467863,8
1574467864,8
1574467865,8
1574467866,8
1574467867,8
1574467868,8
1574467869,8
1574467870,8
1574467871,8
1574467872,8
1574467873,8
1574467874,8
1574467875,8
1574467876,8
1574467877,8
1574467878,8
1574467879,8
1574467880,8
1574467881,8
1574467882,8
1574467883,8
1574467884,8
1574467885,8
1574467886,8
1574467887,8
1574467888,8
1574467889,8
1574467890,8
1574467891,8
1574467892,8
1574467893,8
1574467894,8
1574467895,8
1574467896,8
1574467897,8
1574467898,8
1574467899,8
1574467900,8
1574467901,8
1574467902,8
1574467903,8
1574467904,8
1574467905,8
1574467906,8
1574467907,8
1574467908,8
1574467909,8
1574467910,8
1574467911,8
1574467912,8
1574467913,8
1574467914,8
1574467915,8
1574467916,8
1574467917,8
1574467918,8
1574467919,8
1574467920,8
1574467921,8
1574467922,8
1574467923,8
1574467924,8
1574467925,8
1574467926,8
1574467927,8
1574467928,8
1574467929,8
1574467930,8
1574467931,8
1574467932,8
1574467933,8
1574467934,8
1574467935,8
1574467936,8
1574467937,8
1574467938,8
1574467939,8
1574467940,8
1574467941,8
1574467942,8
1574467943,8
1574467944,8
1574467945,8
1574467946,8
1574467947,8
1574467948,8
1574467949,8
1574467950,8
1574467951,8
1574467952,8
1574467953,8
1574467954,8
1574467955,8
1574467956,8
1574467957,8
1574467958,8
1574467959,8
1574467960,8
1574467961,8
1574467962,8
1574467963,8
1574467964,8
1574467965,8
1574467966,8
1574467967,8
1574467968,8
1574467969,8
1574467970,8
1574467971,8
1574467972,8
1574467973,8
1574467974,8
1574467975,8
1574467976,8
1574467977,8
1574467978,8
1574467979,8
1574467980,8
1574467981,8
1574467982,8
1574467983,8
1574467984,8
1574467985,8
1574467986,8
1574467987,8
1574467988,8
1574467989,8
1574467990,8
1574467991,8
1574467992,8
1574467993,8
1574467994,8
1574467995,8
1574467996,8
1574467997,8
1574467998,8
1574467999,8
1574468000,8
1574468001,8
1574468002,8
1574468003,8
1574468004,8
1574468005,8
1574468006,8
1574468007,8
1574468008,8
1574468009,8
1574468010,8
1574468011,8
1574468012,8
1574468013,8
1574468014,8
1574468015,8
1574468016,8
1574468017,8
1574468018,8
1574468019,8
1574468020,8
1574468021,8
1574468022,8
1574468023,8
1574468024,8
1574468025,8
1574468026,8
1574468027,8
1574468028,8
1574468029,8
1574468030,8
1574468031,8
1574468032,8
1574468033,8
1574468034,8
1574468035,8
1574468036,8
1574468037,8
1574468038,8
1574468039,8
1574468040,8
1574468041,8
1574468042,8
1574468043,8
1574468044,8
1574468045,8
1574468046,8
1574468047,8
1574468048,8
1574468049,8
1574468050,8
1574468051,8
1574468052,8
1574468053,8
1574468054,8
1574468055,8
1574468056,8
1574468057,8
1574468058,8
1574468059,8
1574468060,8
1574468061,8
1574468062,8
1574468063,8
1574468064,8
1574468065,8
1574468066,8
1574468067,8
1574468068,8
1574468069,8
1574468070,8
1574468071,8
1574468072,8
1574468073,8
1574468074,8
1574468075,8
1574468076,8
1574468077,8
1574468078,8
1574468079,8
1574468080,8
1574468081,8
1574468082,8
1574468083,8
1574468084,8
1574468085,8
1574468086,8
1574468087,8
1574468088,8
1574468089,8
1574468090,8
1574468091,8
1574468092,8
1574468093,8
1574468094,8
1574468095,8
1574468096,8
1574468097,8
1574468098,8
1574468099,8
1574468100,8
1574468101,8
1574468102,8
1574468103,8
1574468104,8
1574468105,8
1574468106,8
1574468107,8
1574468108,8
1574468109,8
1574468110,8
1574468111,8
1574468112,8
1574468113,8
1574468114,8
1574468115,8
1574468116,8
1574468117,8
1574468118,8
1574468119,8
1574468120,8
1574468121,8
1574468122,8
1574468123,8
1574468124,8
1574468125,8
1574468126,8
1574468127,8
1574468128,8
1574468129,8
1574468130,8
1574468131,8
1574468132,8
1574468133,8
1574468134,8
1574468135,8
1574468136,8
1574468137,8
1574468138,8
1574468139,8
1574468140,8
1574468141,8
1574468142,8
1574468143,8
1574468144,8
1574468145,8
1574468146,8
1574468147,8
1574468148,8
1574468149,8
1574468150,8
1574468151,8
1574468152,8
1574468153,8
1574468154,8
1574468155,8
1574468156,8
1574468157,8
1574468158,8
1574468159,8
1574468160,8
1574468161,8
1574468162,8
1574468163,8
1574468164,8
1574468165,8
1574468166,8
1574468167,8
1574468168,8
1574468169,8
1574468170,8
1574468171,8
1574468172,8
1574468173,8
1574468174,8
1574468175,8
1574468176,8
1574468177,8
1574468178,8
1574468179,8
1574468180,8
1574468181,8
1574468182,8
1574468183,8
1574468184,8
